accuRx_id,Practice Name,Address,Postcode,Messages sent last week,City
28,Manor Surgery, Osler Road,LS19 6BA,,Oxford
32,Hollow Way Medical Centre, 18 Ivy Close,LS19 6BA,,Oxford
90,No Name, 114 High Road,SO21 1QY,786.0,London
94,St Clement's Surgery, 39 Temple Street,WN3 6PR,44.0,Oxford
128,Botley Medical Centre, Elms Road,SO21 3LE,1168.0,Oxford
138,Cowley Road Medical Practice, East Oxford Health Centre,WD19 7SF,194.0,Oxford
139,Temple Cowley Health Centre, Temple Road,NW3 3NP,991.0,Oxford
148,No Name, 125 Alexandra Surgery,OX28 3FS,282.0,Green
238,No Name, 581 High Road,WD25 7NL,503.0,London
257,Bushey Medical Centre, London Road,SE5 0BB,,Bushey
273,No Name, 34 Ritchie Street,CO7 8PJ,226.0,London
300,The Leys Health Centre, Dunnock Way,WC1E 6DP,201.0,Oxford
311,Muswell Hill, 1 Dukes Avenue,HP22 6LD,1501.0,London
312,No Name, Gordon Road,HA9 8HD,1295.0,London
351,Kidlington Surgery, Exeter Close,WS1 1YB,183.0,Kidlington
363,No Name, 27 Beaumont Street,WD18 0JP,,Oxford
370,Blithehale Medical Centre, 22 Dunbridge Street,BS23 4BP,,London
401,Fulford Grange, Micklefield Lane,N8 8SU,380.0,Leeds
440,No Name, 207 London Road,M41 7WJ,402.0,Oxford
452,St Bartholomew's Medical Centre, Manzil Way,GU22 7QP,484.0,Oxford
489,Fulford Grange, Micklefield Lane,ME4 3EP,1096.0,Leeds
